Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season,all_nba_1st_team
Richard Washington,PF,25,TOT,80,,1812,6.8,14.8,.455,0.0,0.0,.500,6.7,14.8,.455,2.4,3.2,.748,3.1,5.9,9.0,2.6,0.9,1.2,2.6,5.6,15.9,1981,0
Richard Washington,PF,25,DAL,11,,307,6.0,13.7,.436,0.0,0.0,,6.0,13.7,.436,2.0,2.7,.739,2.9,6.9,9.9,1.9,0.6,0.8,2.5,4.3,14.0,1981,0
Richard Washington,PF,25,CLE,69,,1505,6.9,15.1,.459,0.0,0.0,.500,6.9,15.0,.459,2.4,3.3,.750,3.2,5.6,8.8,2.7,1.0,1.3,2.6,5.9,16.3,1981,0
Marvin Webster,C,28,NYK,82,,1708,3.4,7.2,.466,0.0,0.1,.250,3.3,7.1,.469,2.2,3.4,.638,3.4,6.4,9.8,1.5,0.6,2.0,2.2,3.9,8.9,1981,0
Jerome Whitehead,C,24,TOT,48,,688,4.3,9.4,.461,0.0,0.1,.000,4.3,9.4,.464,1.5,2.9,.500,3.0,8.2,11.2,1.4,1.0,0.5,2.9,6.4,10.2,1981,0
Jerome Whitehead,C,24,DAL,7,,118,4.9,11.6,.421,0.0,0.0,,4.9,11.6,.421,1.5,3.4,.455,2.4,6.1,8.5,0.6,1.2,0.3,3.4,4.9,11.3,1981,0
Jerome Whitehead,C,24,CLE,3,,8,4.5,13.5,.333,0.0,0.0,,4.5,13.5,.333,0.0,0.0,,9.0,4.5,13.5,0.0,4.5,0.0,0.0,27.0,9.0,1981,0
Jerome Whitehead,C,24,SDC,38,,562,4.2,8.9,.475,0.0,0.1,.000,4.2,8.8,.478,1.5,2.9,.511,3.1,8.6,11.7,1.5,1.0,0.5,2.9,6.4,9.9,1981,0
Sidney Wicks,PF,31,SDC,49,,1083,4.2,9.5,.437,0.0,0.0,.000,4.2,9.5,.439,2.5,5.0,.507,2.6,4.8,7.4,3.7,1.3,1.3,3.1,5.6,10.8,1981,0
Michael Wiley,PF,23,SAS,33,,271,10.1,18.3,.551,0.0,0.3,.000,10.1,18.1,.559,4.8,6.4,.750,2.9,5.6,8.5,1.5,1.1,0.8,3.7,5.0,25.0,1981,0
Jeff Wilkins,C,25,UTA,56,,1058,4.0,8.8,.450,0.0,0.0,,4.0,8.8,.450,0.9,1.4,.675,2.1,7.2,9.3,1.4,1.1,1.6,2.0,5.8,8.9,1981,0
Sly Williams,PF,23,NYK,67,,1976,6.4,12.9,.493,0.0,0.1,.250,6.3,12.8,.496,3.4,4.9,.690,2.9,4.7,7.6,3.3,2.1,0.3,2.6,3.6,16.1,1981,0
Kareem Abdul-Jabbar*,C,34,LAL,76,76,2677,10.1,17.5,.579,0.0,0.0,.000,10.1,17.5,.580,4.2,5.9,.706,2.3,6.5,8.9,3.0,0.8,2.8,3.1,3.0,24.4,1982,0
Alvan Adams,C,27,PHO,79,75,2393,7.6,15.5,.494,0.0,0.0,.000,7.6,15.4,.494,2.7,3.5,.781,2.1,6.7,8.8,5.4,1.7,1.2,2.9,4.0,18.0,1982,0
Dennis Awtrey,C,33,POR,10,3,121,1.5,4.5,.333,0.0,0.0,,1.5,4.5,.333,1.5,2.7,.556,2.1,2.1,4.2,2.4,0.3,0.6,1.8,8.3,4.5,1982,0
Carl Bailey,C,23,POR,1,0,7,5.1,5.1,1.000,0.0,0.0,,5.1,5.1,1.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,10.3,1982,0
James Bailey,PF,24,TOT,77,0,1468,6.4,12.4,.517,0.0,0.0,,6.4,12.4,.517,3.4,5.5,.612,3.1,6.5,9.6,1.6,1.0,2.0,3.4,6.6,16.2,1982,0
James Bailey,PF,24,SEA,10,0,180,6.2,13.0,.477,0.0,0.0,,6.2,13.0,.477,0.8,2.2,.364,3.4,6.2,9.6,2.6,0.6,1.4,3.8,8.4,13.2,1982,0
James Bailey,PF,24,NJN,67,0,1288,6.4,12.3,.523,0.0,0.0,,6.4,12.3,.523,3.7,6.0,.624,3.1,6.5,9.6,1.5,1.1,2.1,3.4,6.4,16.6,1982,0
Mel Bennett,PF,27,CLE,3,0,23,3.1,6.3,.500,0.0,0.0,,3.1,6.3,.500,1.6,9.4,.167,1.6,3.1,4.7,0.0,1.6,0.0,6.3,3.1,7.8,1982,0
Kent Benson,C,27,DET,75,72,2467,5.9,11.7,.505,0.0,0.2,.273,5.9,11.5,.508,1.9,2.3,.804,3.2,6.3,9.5,2.3,1.0,1.4,2.3,3.1,13.7,1982,0
Larry Bird*,PF,25,BOS,77,58,2923,8.8,17.4,.503,0.1,0.6,.212,8.6,16.8,.514,4.0,4.7,.863,2.5,7.8,10.3,5.5,1.8,0.8,3.1,3.0,21.7,1982,0
Brad Branson,PF,23,CLE,10,3,176,4.3,10.6,.404,0.0,0.0,,4.3,10.6,.404,2.3,2.5,.917,2.9,3.9,6.8,1.2,1.0,0.8,2.7,3.5,10.8,1982,0
Jim Brewer,PF,30,LAL,71,9,966,3.0,6.5,.463,0.0,0.2,.167,3.0,6.3,.473,0.3,0.7,.368,4.0,5.9,9.8,1.6,1.5,1.7,1.4,4.7,6.3,1982,0
Rickey Brown,C,23,GSW,82,11,1260,5.5,11.9,.459,0.0,0.0,,5.5,11.9,.459,2.5,3.5,.705,3.9,6.5,10.4,0.5,1.0,0.8,2.4,6.9,13.4,1982,0
Kenny Carr,PF,26,TOT,74,48,1926,6.5,12.9,.503,0.0,0.2,.100,6.5,12.7,.509,3.7,5.6,.656,3.1,6.8,9.9,1.6,1.2,0.4,2.8,4.7,16.7,1982,0
Kenny Carr,PF,26,CLE,46,42,1482,6.6,12.7,.517,0.0,0.2,.111,6.6,12.5,.524,3.5,5.3,.659,2.8,6.8,9.6,1.5,1.4,0.4,2.7,4.4,16.7,1982,0
Kenny Carr,PF,26,DET,28,6,444,6.2,13.6,.458,0.0,0.1,.000,6.2,13.5,.461,4.3,6.6,.646,4.3,6.8,11.1,1.9,0.5,0.5,3.2,5.6,16.8,1982,0
